target_facet,ER_IR_count,ER_WD_count,OE_AE_count,OE_CI_count,OE_IE_count,RO_EC_count,RO_RN_count,SE_AI_count,SE_RE_count,SM_EP_count,SM_OS_count,SM_RL_count,METHOD_count,NONE_count,total
ER-IR,72,0,0,0,0,0,0,0,0,0,0,0,0,0,72
ER-WD,0,71,0,0,0,0,0,0,0,0,0,0,0,1,72
OE-AE,0,0,72,0,0,0,0,0,0,0,0,0,0,0,72
OE-CI,0,0,0,72,0,0,0,0,0,0,0,0,0,0,72
OE-IE,0,0,0,0,68,0,0,0,0,0,0,0,4,0,72
RO-EC,0,0,0,0,0,105,0,0,0,0,0,0,0,3,108
RO-RN,0,0,0,0,0,0,70,0,0,0,0,0,1,1,72
SE-AI,0,0,0,0,0,0,1,71,0,0,0,0,0,0,72
SE-RE,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72
SM-EP,0,0,0,0,0,0,0,0,0,72,0,0,0,0,72
SM-OS,0,0,0,0,0,0,0,0,0,3,65,0,2,2,72
SM-RL,0,0,0,0,0,0,0,0,0,0,2,68,2,0,72
