reviewer_slot,wave_id,stage1_packet_sha256,stage1_response_sha256,stage1_sent_at,stage1_received_at,stage1_locked_by,stage1_lock_verified_at,all_stage1_waves_locked_at,stage2_packet_sha256,stage2_response_sha256,stage2_released_at,stage2_received_at,stage2_locked_at,notes
R01,W1,0192a76d00e533134a7347cbde8eed5ff128239d0115767eef2670655f67baed,13608705094e55107725e34a44f4786e9fa9baec2b9000e5cab98716d699d24e,,2026-07-18T10:45:26.450Z,root-coordinator,2026-07-18T10:45:26.450Z,2026-07-18T10:45:26.450Z,3abc6a935ac31bb31e06457d95ae1b7277b11a62fdf61f97fe6d9aa92e0c04a8,729d901ae8dd55b4985fc1cdc9a88d3dcd76e91a6d62112b716855045cfee717,2026-07-18T10:56:18.294Z,2026-07-18T11:07:03.585Z,2026-07-18T11:07:03.585Z,
R01,W2,abc2cfb4dce5cad41c03f3e9fa07a3e8e94e3fc20b0ee6e8a824c4df35cb772d,7ce3eb74b3c64c9eda8f732c84bc8f48416b70ebd04a20956ecc9b61b8bbd1ad,,2026-07-18T10:45:26.450Z,root-coordinator,2026-07-18T10:45:26.450Z,2026-07-18T10:45:26.450Z,b832baa117d2baf3e39b7df3ca67fdb9f7351f80470752e3a3443c47f1c6d559,b5c8d1b7309d5296668387e8c5e00426544a21dced99760e456728a5611a5ba6,2026-07-18T10:56:18.294Z,2026-07-18T11:07:03.585Z,2026-07-18T11:07:03.585Z,
R01,W3,0b5c348330faab922273983afedfc2f924187baf1c920449564be33c9df70712,15c466b79976e262156c090a3667879eadc95e765916eb825f78c78d311fac99,,2026-07-18T10:45:26.450Z,root-coordinator,2026-07-18T10:45:26.450Z,2026-07-18T10:45:26.450Z,f0a94226290b69180cf8fb0a91abc18d3537f42c8c08708fd2579c13849d6464,fdc0b56b0f627addfe9531de93d4f329bb23f384df7fd5752a41591ca897d997,2026-07-18T10:56:18.294Z,2026-07-18T11:07:03.585Z,2026-07-18T11:07:03.585Z,
R02,W1,3406cd2861245358a502172438541bd36bd8566ade85f2dbc57f0feafe2a2619,03a79f8ee5ce369158ace7a0c116a6ab1a95597d6f8965adfe3e5759c66956c6,,2026-07-18T10:48:45.462Z,root-coordinator,2026-07-18T10:48:45.462Z,2026-07-18T10:48:45.462Z,e52c413696712a3a99ab725d2a166e054f763adf6a320112bf922276ab6326dc,8e417c89f19f4a4bee7f28ee61ed63aa9921741a40bc4d398bf4cf89e0cc208e,2026-07-18T10:56:18.440Z,2026-07-18T11:08:22.696Z,2026-07-18T11:08:22.696Z,
R02,W2,a9852c910d3a6713f9eb762c986774491af533d058c6018c3fffb8731d83d2bc,2d00e55ff8329bb941c2c1c6dc99be3772fa9bf10139f0630c7c4caf23a295c2,,2026-07-18T10:48:45.462Z,root-coordinator,2026-07-18T10:48:45.462Z,2026-07-18T10:48:45.462Z,5da3f039e4ba86036eeeb9cacf578b60322031d500a3c1dd199e362b02fefdd6,299ff65c0c5486c1441e0ada8296384dc92ac08048ef64f5c1b11e478e27392e,2026-07-18T10:56:18.440Z,2026-07-18T11:08:22.696Z,2026-07-18T11:08:22.696Z,
R02,W3,d75b99d909a15b7b3258bea3eea55c09164073dc2c3063f581574a047fc5e26a,c03db1df2b8f0794d97424fc1a1e192cbed4b5745abe3225db730923b5482726,,2026-07-18T10:48:45.462Z,root-coordinator,2026-07-18T10:48:45.462Z,2026-07-18T10:48:45.462Z,7c4247ba39298da5da134d679fd3dca4f56018044b002ae81438029e6c2b66f3,ea751203400ae35355ac477f54ed60b40607fb1da80e40b0eddb4c058e2870e2,2026-07-18T10:56:18.440Z,2026-07-18T11:08:22.696Z,2026-07-18T11:08:22.696Z,
R03,W1,39d00084c078134c8ed792d5853ccb63b813d93a05e4dcef53082e4757932afb,ac992fdcd9c16f6665aaf8aab9703ef84f6ad7ff22ad0e7eadc8ed39998ca412,,2026-07-18T10:48:45.627Z,root-coordinator,2026-07-18T10:48:45.627Z,2026-07-18T10:48:45.627Z,dbb3258363ef347babb431500363d131367fbda364e077cb0094c6f1a16b16ce,1f1b6ecf988fed484dc6f5d44ea782805e54c90216e7be17d607c2b089430bb7,2026-07-18T10:56:18.585Z,2026-07-18T11:10:51.097Z,2026-07-18T11:10:51.097Z,
R03,W2,2b59889f2472842fbdc48aa2fff99fc1846a81a472381beecdf4e5d27c6345b4,38afe5ab92d6a61238e4a70c5f705301d62d38d3ec96c6c312b527cd148ca319,,2026-07-18T10:48:45.627Z,root-coordinator,2026-07-18T10:48:45.627Z,2026-07-18T10:48:45.627Z,513220310bfd2e96012b554fa8124124914a9f5de0ac23a7bee47d7b14debf3f,762f9fb286217678e095092c7536d05033ca779c5868c5974b3297c89d99dedd,2026-07-18T10:56:18.585Z,2026-07-18T11:10:51.097Z,2026-07-18T11:10:51.097Z,
R03,W3,f5412d2ee273dc84ed19b0618b561738cc4daa8dc9fceee2602705cebe4d8074,c8b734c7a036ce6d96d7ad03a76b9e9433af47cf7c2ae49943e95d02c2f57da7,,2026-07-18T10:48:45.627Z,root-coordinator,2026-07-18T10:48:45.627Z,2026-07-18T10:48:45.627Z,ddea08464a869881d56e66b1481893546356a6d601969b721406eca44af92376,217ca3e669ac3d89345c5826e39092ced7b7d81e2456034a2009770fcc8b9a92,2026-07-18T10:56:18.585Z,2026-07-18T11:10:51.097Z,2026-07-18T11:10:51.097Z,
R04,W1,f10ffb69779172abe8b9e81eb4a25247bcd1f1b494da32d4d1f0b77d2e3f1603,1e7c4658a9543d4ec52713bbd239abeb4adb8ef238a57913892b45322ba70ac9,,2026-07-18T10:51:46.088Z,root-coordinator,2026-07-18T10:51:46.088Z,2026-07-18T10:51:46.088Z,36c90656c6f598a845863450023d7d9036782eec42a7fde1ffc20597cdb276cb,902151cb29551bc920362ba8b3bc60b924baa7ee9b81cce66052f2cd047b4164,2026-07-18T10:56:18.721Z,2026-07-18T11:13:42.645Z,2026-07-18T11:13:42.645Z,
